title,original_airdate,production_number,dialogue
The  Cage Unaired  pilot ,,1,Check the circuit.
The  Cage Unaired  pilot ,,1,"It can't be the screen then. Definitely something out there,  Captain, headed this way."
The  Cage Unaired  pilot ,,1,Their call letters check with a survey expedition. SS Columbia.  It disappeared in that region approximately eighteen years ago.
The  Cage Unaired  pilot ,,1,"Records show the Talos group has never been explored. Solar  system similar to Earth, eleven planets. Number four seems to be Class  M, oxygen atmosphere."
The  Cage Unaired  pilot ,,1,"We aren't going to go, to be certain?"
The  Cage Unaired  pilot ,,1,"Preliminary lab survey ready, sir."
The  Cage Unaired  pilot ,,1,"Yes, sir."
The  Cage Unaired  pilot ,,1,Spock here.
The  Cage Unaired  pilot ,,1,"There is no survivors' encampment, Number One. This is all some  sort of trap. We've lost the Captain. Do you read?"
The  Cage Unaired  pilot ,,1,"The inhabitants of this planet must live  deep underground, and probably manufacture food and other needs down  there. Our tests indicate the planet surface, without considerably more  vegetation or some animals, simply too barren to support life."
The  Cage Unaired  pilot ,,1,Exactly. An illusion placed in our minds by this planet's  inhabitants.
The  Cage Unaired  pilot ,,1,"They may simply be studying the Captain, to find out how Earth  people are put together. Or it could be something more."
The  Cage Unaired  pilot ,,1,"Look. Brains three times the size of ours. If we start buzzing  about down there, we're liable to find their mental power is so great  they could reach out and swat this ship as though it were a fly."
The  Cage Unaired  pilot ,,1,We've located a magnetic field that seems to  come from their underground generator.
The  Cage Unaired  pilot ,,1,"If our measurements and readings are an illusion also, one could  find oneself materialised inside solid rock."
The  Cage Unaired  pilot ,,1,The women!
The  Cage Unaired  pilot ,,1,Address intercraft.
The  Cage Unaired  pilot ,,1,This is the acting captain speaking. We have no choice now but  to consider the safety of this vessel and the remainder of the crew.  We're leaving. All decks prepare for hyperdrive. Time warp factor.
The  Cage Unaired  pilot ,,1,Engine room!
The  Cage Unaired  pilot ,,1,Mister Spock here. Switch to rockets. We're blasting out.
The  Cage Unaired  pilot ,,1,Nothing. But for the batteries we'd lose gravitation and oxygen.
The  Cage Unaired  pilot ,,1,Could be we've waited too long. It's collecting all the  information stored in this fly. They've decided to swat us.
The  Cage Unaired  pilot ,,1,Mister Spock here.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Your move, Captain."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,I'll have you checkmated your next move.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Irritating? Ah, yes. One of your Earth emotions."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,The fact one of my ancestors married a human female
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Not large enough even for a lifeboat.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"More like destroyed the ship in this case. Look at it. Burnt,  pitted."
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,He played most illogically. His next move should have been the  rook.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,The tapes are burnt out. Trying the memory banks.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Getting something from the recorder now.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,Decoding memory banks. I'll try to interpolate. The Valiant had  encountered a magnetic space storm and was being swept in this  direction.
Where  No Man Has Gone Before ,"22 Sep, 1966  ",2,"Swept past this point, about a half light year out of the  galaxy, they were thrown clear, turned, and headed back into the galaxy  here. I'm not getting it all. The tapes are pretty badly burned. Sounds  like the ship had encountered some unknown force. Now, orders, counter  orders, repeated urgent requests for information from the ship's  computer records for anything concerning ESP in human beings."
